age_group,n,prop
*0-17 Years,335,0.026231305301072743
*18-44 Years,3092,0.24211103280870722
*45-64 Years,1249,0.09779970245086524
*65-74 Years,148,0.011588755774802286
*75+ Years,27,0.0021141649048625794
1-28 Days,2,1.5660480776759846e-4
1-4 Years,744,0.05825698848954663
10-14 Years,478,0.03742854905645603
15-17 Years,864,0.06765327695560254
18-19 Years,415,0.03249549761177668
20-24 Years,829,0.06491269281966956
25-29 Years,718,0.05622112598856785
29-365 Days,77,0.006029285099052541
30-34 Years,793,0.06209380627985279
35-39 Years,640,0.050113538485631506
40-44 Years,506,0.03962101636520241
45-49 Years,366,0.02865867982147052
5-9 Years,187,0.014642549526270457
50-54 Years,328,0.025683188473886148
55-59 Years,298,0.023334116357372172
60-64 Years,241,0.018870879335995613
65-69 Years,168,0.013154803852478272
70-74 Years,135,0.010570824524312896
75-79 Years,63,0.004933051444679351
80-84 Years,32,0.0025056769242815754
85-89 Years,19,0.0014877456737921854
90+ Years,16,0.0012528384621407877
UNKNOWN Age Group,1,7.830240388379923e-5
