hospital,hosp_county,n
JPS Hosp,Tarrant,2409
PHS Parkland,Dallas,838
Cook Hospital,Tarrant,756
BSW University,Dallas,443
MC Dallas,Dallas,397
TH Arlington,Tarrant,382
Children's MC Dallas,Dallas,381
MHS Dallas MC,Dallas,330
MHS Charlton MC,Dallas,328
TH FW,Tarrant,326
TH Dallas,Dallas,308
MHS Richardson Bush,Dallas,262
TH HEB,Tarrant,257
TH Plano,Collin,240
TH Denton,Denton,226
BSW Irving,Dallas,224
MC Arlington,Tarrant,217
Huguley,Tarrant,205
Children's MC Plano,Collin,197
MC Denton,Denton,182
BSW Sunnyvale,Dallas,158
BSW Lake Pointe,Dallas,150
BSW McKinney,Collin,149
TH Harris Alliance,Tarrant,147
CH White Rock,Dallas,143
MC McKinney,Collin,142
TH Southwest,Tarrant,128
MC North Hills,Tarrant,121
MHS Mansfield MC,Tarrant,119
BSW Waxahachie,Ellis,115
MC Plano,Collin,114
MC Las Colinas,Dallas,113
MC Lewisville,Denton,113
Cook Prosper,Collin,112
THP Rockwall NC,Rockwall,108
BSW Grapevine,Tarrant,107
TH Frisco,Collin,105
TH Kaufman,Kaufman,103
TH Allen,Collin,100
MC Alliance,Tarrant,91
TH Azle,Tarrant,88
MC Weatherford,Parker,88
UTSW Clements,Dallas,87
Ennis RegMC,Ellis,85
TH Cleburne,Johnson,83
BSW Plano,Collin,78
BSW Centennial,Collin,77
TH Stephenville,Erath,73
BSW All Saints,Tarrant,67
THP Flower Mound,Denton,66
MC Decatur,Wise,56
MC Frisco,Collin,54
TH Mansfield,Tarrant,49
BSW Forney,Kaufman,45
MHS Midlothian,Ellis,39
BSW Frisco,Denton,37
Wise Decatur,Wise,33
TH Care Willow Park,Parker,29
TH Care Burleson,Johnson,27
MC Fort Worth,Tarrant,26
MHS Southlake,Tarrant,25
MHS Richardson RegMC,Dallas,25
MC ER Saginaw,Tarrant,25
MC Sachse,Dallas,19
BSW Uptown,Dallas,18
BSW Wylie,Collin,11
MC ER White Settlement,Tarrant,11
MC ER Garland,Dallas,11
TH Care Prosper,Collin,9
MC Green Oaks,Dallas,9
MC ER Haslet,Tarrant,8
MC ER Grand Prairie,Dallas,8
BSW Trophy Club,Denton,8
MHS Celina MC,-,7
MC ER Red Oak,Ellis,6
MC ER Argyle,Denton,6
MHS McKinney Hosp,Collin,6
Masked Hospital,-,5
BSW Sherman,Grayson,5
BSW Heart Plano,Collin,4
MHS Hosp Surg,Dallas,3
MC ER Stonebridge,Collin,2
BSW Ortho Arlington,Tarrant,1
MC Heart and Spine,Dallas,1
Wise EC Argyle,Denton,1
BSW Heart Denton,Denton,1
BSW Frisco at PGA,-,1
BSW Surg Fort Worth,Tarrant,1
Children's Pavilion,Dallas,1
